ID,RA,DEC,Field,B,A,FLUX_RADIUS_50,THETA,FWHM,r_auto
DR4_3_STRIPE82-0006_0003914,2.4922929419674738,0.1309787238088694,STRIPE82-0006,0.0004997706,0.00059478945,1.6865718,68.04599,0.00038770188,13.186027
DR4_3_STRIPE82-0006_0003987,2.5708399513167715,0.15580304993581987,STRIPE82-0006,0.00038288548,0.0003908961,1.6009423,19.9759,0.0003665988,14.836853
DR4_3_STRIPE82-0006_0003997,3.3930571731319263,0.16200642069694665,STRIPE82-0006,0.00030150634,0.00032769947,1.4796283,-47.655323,0.00032692382,16.862057
DR4_3_STRIPE82-0006_0004033,3.42142838243317,0.16413445048188363,STRIPE82-0006,0.00028522417,0.00029433522,1.4698861,5.9824047,0.00034514163,16.942802
DR4_3_STRIPE82-0006_0004063,3.0378325640185686,0.15863506917932618,STRIPE82-0006,0.0004010494,0.00042995796,1.5426925,32.2364,0.00034464482,15.829714
DR4_3_STRIPE82-0006_0004131,2.6879518680655234,0.1654533735911636,STRIPE82-0006,0.00033191207,0.00034796807,1.5083395,86.13396,0.00034739994,16.83426
DR4_3_STRIPE82-0006_0004134,3.319455630699227,0.16299477031309653,STRIPE82-0006,0.00036345815,0.00038639526,1.5392468,27.072165,0.0003395322,15.284621
DR4_3_STRIPE82-0006_0004157,2.591295769892427,0.1637318984592432,STRIPE82-0006,0.00038306954,0.0003979172,1.5994345,40.73387,0.0003663698,14.746198
DR4_3_STRIPE82-0006_0004181,2.486686935280225,0.13240766551129343,STRIPE82-0006,0.0007064824,0.0007353972,2.0168536,74.3919,0.00053358113,11.418847
DR4_3_STRIPE82-0006_0004188,2.8376551481823777,0.17058289127095763,STRIPE82-0006,0.00029631407,0.00032054243,1.5367988,2.445887,0.00035894138,16.446415
DR4_3_STRIPE82-0006_0004208,3.032459485055525,0.13392261136002884,STRIPE82-0006,0.000685001,0.000717993,1.8477128,-84.966805,0.00048499473,11.794509
DR4_3_STRIPE82-0006_0004275,3.332898067083706,0.17176128085959522,STRIPE82-0006,0.00034922556,0.00037517896,1.5081446,15.995236,0.0003479851,16.338528
DR4_3_STRIPE82-0006_0004303,3.1220507216303353,0.1631776032065985,STRIPE82-0006,0.00042728387,0.00045747348,1.5492251,31.600145,0.00035486213,13.56012
DR4_3_STRIPE82-0006_0004332,3.2100324237895204,0.17433457553174275,STRIPE82-0006,0.00031297837,0.00032625665,1.5373971,-6.6190476,0.0003365615,16.956333
DR4_3_STRIPE82-0006_0004385,3.2834700643709667,0.17586766336075102,STRIPE82-0006,0.0003282463,0.000350595,1.5413028,-39.953167,0.00034603616,16.743618
DR4_3_STRIPE82-0006_0004392,2.8769887600585506,0.15348649118696767,STRIPE82-0006,0.00053089304,0.0005447543,1.6517804,57.757065,0.0004220165,12.141822
DR4_3_STRIPE82-0006_0004399,2.947394787950802,0.1634356352192346,STRIPE82-0006,0.00047396868,0.00050927204,1.5960987,8.7842655,0.0003645399,13.123468
DR4_3_STRIPE82-0006_0004400,2.8786860416016173,0.1690762692464965,STRIPE82-0006,0.0004188263,0.0004382797,1.5356116,17.812466,0.00034576489,14.300585
DR4_3_STRIPE82-0006_0004411,3.050090855187415,0.1711348858473006,STRIPE82-0006,0.00041279115,0.00043699317,1.5462512,3.751516,0.00034455623,14.608559
DR4_3_STRIPE82-0006_0004412,3.3699238338765802,0.17556916589552335,STRIPE82-0006,0.00032847133,0.0003599334,1.5389084,75.800316,0.00034262048,16.205896
DR4_3_STRIPE82-0006_0004421,3.175524551438711,0.17617155154376524,STRIPE82-0006,0.00034412937,0.00034823746,1.5188296,-83.58241,0.00033486955,16.165176
DR4_3_STRIPE82-0006_0004432,3.3447463507019837,0.1779696885704373,STRIPE82-0006,0.00031712212,0.0003545199,1.5426631,-20.390547,0.00032893065,16.884909
DR4_3_STRIPE82-0006_0004457,2.293019447999617,0.17884071519421063,STRIPE82-0006,0.00032769135,0.0003704133,1.6497577,33.66713,0.0003905869,16.11039
DR4_3_STRIPE82-0006_0004493,2.884188855259263,0.17841233976432078,STRIPE82-0006,0.00034831214,0.0003725768,1.5408013,55.762703,0.00035602035,15.811611
DR4_3_STRIPE82-0006_0004529,3.20874312364543,0.18142541147438657,STRIPE82-0006,0.00034498933,0.00035105407,1.486995,2.6665509,0.00033694602,16.017124
DR4_3_STRIPE82-0006_0004544,3.1034804034176364,0.17540387381486708,STRIPE82-0006,0.0003969879,0.0004054048,1.5478193,22.448238,0.00034628727,15.091685
DR4_3_STRIPE82-0006_0004578,2.5650205698621624,0.18434169310380108,STRIPE82-0006,0.00031862257,0.00034133112,1.5470707,10.337773,0.00036450187,16.221098
DR4_3_STRIPE82-0006_0004593,2.685727506463849,0.17866583881374337,STRIPE82-0006,0.00041678027,0.0004277506,1.5601115,-14.861254,0.00036477353,14.377033
DR4_3_STRIPE82-0006_0004618,3.0605594622339996,0.1808429146569741,STRIPE82-0006,0.0004007901,0.00040842764,1.5244725,56.31563,0.00034276585,14.880384
